ID,Project Code,PQ #,PO / SO #,ASN/DN #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,PQ First Sent to Client Date,PO Sent to Vendor Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD)
6881,61,1236,605,204,16,2,0,5,0,764,895,241,240,3,2,49,82,39,28,54,15,100,-0.4573069323725852,-0.4312516663166563,7.193844302588204,0.8817486343218157,73,1,-0.0111688478460854,-1.4880712341101945,-0.4435495462032866
72142,64,1087,322,657,30,2,0,6,0,115,153,1295,1293,2,5,2,125,66,15,0,10,60,-0.4185892267828999,-0.4214240025085043,-0.3113609047641679,-0.1470550960593027,7,1,-1.168415787061153,-0.6758009678564801,-0.431341159153094
82869,79,716,3791,4233,39,2,1,7,0,119,896,761,760,2,1,59,56,12,15,49,10,30,-0.4329522465984283,-0.4417360523729475,-0.3679311505644224,-0.1348437758173903,11,1,0.4294980826955005,-0.4325787977353115,-0.4494920392376518
6106,82,1236,1912,2083,11,2,0,5,0,764,105,449,448,3,2,21,88,43,35,54,15,20,-0.2340181773621358,0.2443772315948051,0.1116003516261069,0.2253901713190248,21,1,-0.6377628166492125,-1.4503386542591117,0.4869761402697494
85867,26,1197,4833,5202,8,2,1,7,0,401,896,1350,1348,2,1,59,175,84,15,33,10,30,-0.4549339117074108,-0.4546822417849976,-0.3598183633760138,-0.1317909457569122,65,0,0.9383162051977226,1.1052787810601703,-0.4699673638764681
82971,115,906,4359,4820,42,2,1,7,3,88,896,1112,1111,2,5,59,40,10,15,19,3,30,-0.4566574740852743,-0.4549689694699625,-0.239222878142913,-0.0737871746078284,11,1,-0.0118305099039557,0.6264829367335928,-0.4694014121589095
84200,71,1186,4830,5427,41,2,1,7,3,356,896,1400,1398,2,1,59,114,60,15,12,11,60,-0.393660020216122,-0.434610290153722,-0.4157308156204514,-0.1714777365431274,39,1,-1.0632115198597831,-1.1780521996580549,-0.4503409668139898
22356,107,91,730,1033,28,2,0,5,0,160,244,1473,1471,2,5,2,125,66,15,0,10,60,-0.4024526862597149,-0.418384428386345,-0.3501707245573657,-0.1562135862407369,7,1,-0.8680212127880594,-0.6395980871885494,-0.4388602319720868
12315,70,1236,3496,3918,41,2,1,7,3,763,896,637,636,2,1,59,117,61,15,32,11,30,1.8425247796547184,2.6107914997966044,-0.2282596522126312,-0.0707343445473503,65,1,0.229676141218685,0.2721026259700451,3.723916776284789
86501,79,1214,4899,5287,39,2,1,7,0,452,896,1325,1323,2,1,59,130,66,15,18,10,120,-0.3973069782910213,-0.2479679157146524,0.1703632426124179,-0.1104211353335655,65,1,0.0549973579409391,0.3450182870336239,-0.2677204750946361
